word,count
love,41412
app,40091
great,26462
use,15207
easy,14211
good,12508
track,12471
sleep,10685
keep,8596
keeps,8542
steps,8201
like,7906
really,7044
helps,6955
works,6155
get,5975
day,5794
awesome,5139
fitness,5069
health,5035
well,4751
excellent,4533
exercise,4295
everything,4275
tracking,4258
fit,4182
one,4179
watch,4103
much,4078
using,3908
helpful,3855
motivated,3810
best,3774
need,3714
goals,3690
heart,3624
weight,3563
daily,3539
time,3440
new,3410
see,3379
charge,3312
far,3210
bit,3158
would,3098
way,3053
also,3052
years,3050
help,3019
2,3019
phone,2981
rate,2921
better,2793
information,2775
many,2581
food,2579
moving,2545
work,2538
got,2528
every,2526
amazing,2521
update,2467
useful,2419
sync,2403
device,2395
stay,2382
know,2325
calories,2311
nice,2277
active,2255
tracker,2204
activity,2161
able,2146
fun,2145
life,2129
keeping,2120
water,2097
since,2057
helped,2049
features,1994
without,1956
makes,1950
set,1921
accurate,1868
want,1867
friends,1849
enjoy,1849
used,1848
working,1837
healthy,1825
still,1810
even,1790
thanks,1764
happy,1763
thank,1746
tracks,1734
getting,1726
move,1715
user,1714
3,1711
progress,1710
gives,1684
tool,1678
recommend,1656
data,1621
challenges,1612
info,1606
5,1589
intake,1587
always,1538
issues,1534
ever,1528
versa,1526
monitor,1523
lot,1514
thing,1480
hr,1461
go,1458
lost,1446
things,1418
going,1406
friendly,1368
walk,1365
wish,1318
could,1307
activities,1306
problems,1302
walking,1289
find,1278
absolutely,1277
never,1259
back,1248
make,1246
brilliant,1231
apps,1228
fantastic,1224
product,1220
syncing,1220
days,1218
think,1209
goal,1162
check,1148
step,1140
simple,1132
first,1124
problem,1119
motivation,1111
little,1102
everyday,1088
motivates,1087
wonderful,1080
informative,1076
perfect,1073
etc,1073
lose,1071
4,1055
stats,1049
loving,1032
syncs,1013
especially,1011
patterns,1006
take,985
started,979
super,972
year,968
understand,960
last,959
motivating,954
10,946
long,938
cool,927
week,917
service,903
helping,901
log,900
experience,893
bought,881
highly,881
overall,873
loss,865
pretty,861
blaze,855
flex,853
workouts,851
sleeping,828
lots,828
feel,820
made,816
wear,815
issue,815
battery,814
please,799
add,796
calorie,792
monitoring,791
accountable,790
times,787
sure,779
support,768
done,755
motivator,753
customer,752
different,746
enjoying,745
reach,742
live,740
right,727
provides,725
look,719
workout,713
change,712
premium,711
definitely,700
trying,700
needs,699
improve,697
part,696
feature,695
people,691
months,690
challenge,688
try,687
lifestyle,687
